phase,creationDate,testRunId,osInformation,javaVersion,javaVendor,systemProperties,projectProperties,gradleVersion,executionTime
test,2023-04-17T13:47:38.486,RUN_AT_2023-04-17T13:47:38.486,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1878
test,2023-04-17T14:38:16.590,RUN_AT_2023-04-17T14:38:16.590,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,821
test,2023-04-17T15:06:30.457,RUN_AT_2023-04-17T15:06:30.457,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,911
test,2023-04-17T15:11:52.760,RUN_AT_2023-04-17T15:11:52.760,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,920
test,2023-04-17T15:23:01.746,RUN_AT_2023-04-17T15:23:01.746,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,893
test,2023-04-19T09:55:40.875,RUN_AT_2023-04-19T09:55:40.875,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,945
test,2023-04-19T11:06:57.236,RUN_AT_2023-04-19T11:06:57.236,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,735
test,2023-04-19T11:20:48.470,RUN_AT_2023-04-19T11:20:48.470,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,751
test,2023-04-19T14:11:00.407,RUN_AT_2023-04-19T14:11:00.407,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1978
test,2023-04-20T11:53:38.619,RUN_AT_2023-04-20T11:53:38.619,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,2173
test,2023-04-20T12:01:43.458,RUN_AT_2023-04-20T12:01:43.458,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1649
test,2023-04-20T12:48:14.612,RUN_AT_2023-04-20T12:48:14.612,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1234
test,2023-04-20T14:44:48.297,RUN_AT_2023-04-20T14:44:48.297,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,2420
test,2023-04-20T15:08:48.375,RUN_AT_2023-04-20T15:08:48.375,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,2566
test,2023-04-20T15:09:26.974,RUN_AT_2023-04-20T15:09:26.974,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1228
test,2023-04-20T15:10:51.274,RUN_AT_2023-04-20T15:10:51.274,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,810
test,2023-04-20T15:19:20.102,RUN_AT_2023-04-20T15:19:20.102,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,897
test,2023-04-20T15:23:49.550,RUN_AT_2023-04-20T15:23:49.550,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,2094
test,2023-04-20T15:36:14.514,RUN_AT_2023-04-20T15:36:14.514,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,2438
test,2023-04-25T11:00:21.384,RUN_AT_2023-04-25T11:00:21.384,Windows 10 10.0,1.8.0_265,Amazon.com Inc.,sun.arch.data.model=64;sun.management.compiler=HotSpot 64-Bit Tiered Compilers;java.runtime.version=1.8.0_265-b01;os.version=10.0;user.dir=C:\projekty\sl-synth-test,path=:sl-code-gen;targetCompatibility=1.8;version=1.0-SNAPSHOT;sourceCompatibility=1.8;buildFile=C:\projekty\sl-synth-test\sl-code-gen\build.gradle,7.4,1856
